stkcd,stknme,ret
000544.SZ,中原环保,0.010204081632653099
000545.SZ,金浦钛业,0.00320512820512811
000546.SZ,ST金圆,0.00143472022955521
000547.SZ,航天发展,0.0052687038988406595
000548.SZ,湖南投资,0.0114942528735633
000550.SZ,江铃汽车,0.0443722943722945
000551.SZ,创元科技,-0.0028653476639597603
000552.SZ,甘肃能化,0.012012012012012001
000553.SZ,安道麦A,0.00931315483119907
000554.SZ,泰山石油,0.0138169257340242
000555.SZ,神州信息,0.021524663677130098
000557.SZ,西部创业,0.0110497237569062
000558.SZ,莱茵体育,-0.0119760479041917
000559.SZ,万向钱潮,0.0127272727272727
000560.SZ,我爱我家,0.033783783783783904
000561.SZ,烽火电子,-0.00105263157894732
000563.SZ,陕国投A,0.0599369085173501
000564.SZ,ST大集,0.0
000565.SZ,渝三峡A,0.0
000566.SZ,海南海药,0.014462809917355499
000567.SZ,海德股份,0.0169100691775559
000568.SZ,泸州老窖,0.021687450473370302
000570.SZ,苏常柴A,-0.00172711571675305
000571.SZ,新大洲A,-0.015151515151515001
000572.SZ,海马汽车,0.100213219616204
000573.SZ,粤宏远A,0.0155038759689922
000576.SZ,甘化科工,0.00977517106549357
000581.SZ,威孚高科,0.0237405906195715
000582.SZ,北部湾港,0.012391573729863601
000584.SZ,ST工智,0.00202839756592294
000586.SZ,汇源通信,0.0161527165932452
000589.SZ,贵州轮胎,-0.013274336283185799
000590.SZ,启迪药业,0.0159271899886235
000591.SZ,太阳能,0.0061349693251535
000592.SZ,平潭发展,0.0
000593.SZ,德龙汇能,0.00416088765603338
000595.SZ,宝塔实业,-0.0246478873239435
000596.SZ,古井贡酒,0.043380196977670905
000597.SZ,东北制药,0.00941619585687401
000598.SZ,兴蓉环境,0.00355239786856127
000599.SZ,青岛双星,0.0114678899082569
000600.SZ,建投能源,-0.014184397163120598
000601.SZ,韶能股份,0.00669642857142848
000603.SZ,盛达资源,-0.021886792452830203
000605.SZ,渤海股份,-0.00150375939849627
000607.SZ,华媒控股,0.00396825396825386
000608.SZ,阳光股份,-0.0124610591900311
000609.SZ,中迪投资,0.100746268656717
000610.SZ,西安旅游,0.00170164492342598
000612.SZ,焦作万方,0.009842519685039441
000615.SZ,*ST美谷,-0.00964630225080372
000616.SZ,*ST海投,0.0
000617.SZ,中油资本,0.0411347517730496
000619.SZ,海螺新材,0.00450450450450448
000620.SZ,*ST新联,0.0116959064327485
000622.SZ,恒立实业,0.028368794326241
000623.SZ,吉林敖东,0.047820823244552
000625.SZ,长安汽车,0.0645624103299856
000626.SZ,远大控股,0.011612903225806399
000627.SZ,天茂集团,0.049689440993788796
000628.SZ,高新发展,0.0037383177570093603
000629.SZ,钒钛股份,0.02
000630.SZ,铜陵有色,0.00624999999999995
000631.SZ,顺发恒业,0.00961538461538455
000632.SZ,三木集团,0.00437636761487949
000633.SZ,合金投资,0.012949640287769699
000635.SZ,英力特,-0.0021739130434781802
000636.SZ,风华高科,0.0160668380462725
000637.SZ,ST实华,0.009090909090909129
000638.SZ,万方发展,-0.0696117804551538
000639.SZ,西王食品,0.0
000650.SZ,仁和药业,0.00446428571428573
000651.SZ,格力电器,0.0159727677402461
000652.SZ,泰达股份,0.027522935779816602
000655.SZ,金岭矿业,0.011644832605531402
000656.SZ,金科股份,0.0744186046511629
000657.SZ,中钨高新,0.0111788617886178
000659.SZ,珠海中富,0.0462046204620462
000661.SZ,长春高新,0.0355251692472687
000663.SZ,永安林业,-0.00361336946702813
000665.SZ,湖北广电,-0.012048192771084001
000666.SZ,经纬纺机,0.0313152400835074
000668.SZ,荣丰控股,0.0
000669.SZ,ST金鸿,0.0104712041884816
000670.SZ,盈方微,-0.008253094910591459
000671.SZ,ST阳光城,0.0
000672.SZ,上峰水泥,0.0197433366238893
000676.SZ,智度股份,0.012638230647709301
000677.SZ,恒天海龙,0.010452961672473799
000678.SZ,襄阳轴承,0.0
000679.SZ,大连友谊,-0.0186440677966104
000680.SZ,山推股份,0.0192678227360309
000681.SZ,视觉中国,-0.034116331096196696
000682.SZ,东方电子,-0.00321543408360123
000683.SZ,远兴能源,0.0013458950201884901
000685.SZ,中山公用,0.0280970625798213
000686.SZ,东北证券,0.0719041278295607
000688.SZ,国城矿业,0.00549828178694169
000690.SZ,宝新能源,-0.003129890453834
000691.SZ,亚太实业,-0.00606060606060606
000692.SZ,*ST惠天,-0.007936507936507901
000695.SZ,滨海能源,0.0
000697.SZ,*ST炼石,-0.0016501650165017
000698.SZ,沈阳化工,0.00702576112412184
000700.SZ,模塑科技,0.10016694490818001
000701.SZ,厦门信达,0.010903426791277199
000702.SZ,正虹科技,-0.009884678747940771
000703.SZ,恒逸石化,0.00983146067415727
000705.SZ,浙江震元,0.00485436893203863
000707.SZ,双环科技,0.00112866817155751
000708.SZ,中信特钢,0.00898203592814388
000709.SZ,河钢股份,0.016949152542373
